idf_rank,term,idf,doc_freq,doc_freq%
130,brown_sugar egg,6.936076444824927,5644,4.04
131,salt paprika,6.936076444824927,365,0.26
132,eggs oil,6.933370083227184,685,0.49
133,tuna,6.933370083227184,398,0.29
134,chicken_thighs,6.927979234592307,1074,0.77
135,minced_garlic_cloves,6.927979234592307,506,0.36
136,boneless_skinless_chicken_thighs,6.925294669221638,612,0.44
137,brown_rice,6.925294669221638,5654,4.05
138,chili,6.925294669221638,1554,1.11
139,artichoke_hearts,6.922617291450922,940,0.67
140,lime_zest,6.922617291450922,1281,0.92
141,mustard_powder,6.922617291450922,358,0.26
142,fresh_green_beans,6.9199470628950435,1583,1.13
143,light_cream,6.9172839454755595,4935,3.53
144,long,6.9172839454755595,2560,1.83
145,lemon_pepper,6.9172839454755595,371,0.27
146,parmigiano reggiano_cheese,6.9172839454755595,380,0.27
147,reggiano_cheese,6.9172839454755595,786,0.56
148,onions garlic,6.914627901417443,372,0.27
149,apple_cider,6.911978893245866,4226,3.03
150,splenda_granular,6.911978893245866,338,0.24
151,egg vanilla_extract,6.911978893245866,408,0.29
152,tomato_puree,6.911978893245866,404,0.29
153,grain_rice,6.911978893245866,544,0.39
154,mayonnaise sour_cream,6.911978893245866,1014,0.73
155,chocolate_syrup,6.909336883783028,359,0.26
156,olive_oil lemon_juice,6.909336883783028,1378,0.99
157,pepper garlic_powder,6.9067018361450225,378,0.27
158,green_cabbage,6.9067018361450225,459,0.33
159,chicken_wings,6.904073713738753,1578,1.13
160,pesto_sauce,6.904073713738753,2183,1.56
161,eggs vegetable_oil,6.904073713738753,7847,5.62
162,white_rice,6.901452480258879,327,0.23
163,green_bell_peppers,6.901452480258879,1025,0.73
164,mashed_potatoes,6.898838099684808,631,0.45
165,water vegetable_oil,6.898838099684808,598,0.43
166,egg butter,6.898838099684808,460,0.33
167,oyster_sauce,6.896230536277727,660,0.47
168,unsalted_butter sugar,6.8936297545776695,454,0.33
169,mustard_seeds,6.8936297545776695,650,0.47
170,parsley_flakes,6.891035719400623,1130,0.81
171,couscous,6.883293745247007,927,0.66
172,_rind_of,6.883293745247007,892,0.64
173,yogurt,6.883293745247007,935,0.67
174,salt ground_cinnamon,6.878165528880088,349,0.25
175,ice_cube,6.878165528880088,1278,0.92
176,carrots celery,6.875611249074991,1910,1.37
