idf_rank,term,idf,doc_freq,doc_freq%
145,and brownies,3.9202227680715147,29090,20.83
146,hot,3.9195589778048583,29090,20.83
147,served hot,3.9195589778048583,55865,40.0
148,stews,3.9183652645521607,55865,40.0
149,dish beef,3.890264349971505,20507,14.68
150,sweet,3.884865879277141,21848,15.65
151,something low,3.8683386787821346,21848,15.65
152,pork,3.8500972934231577,4555,3.26
153,easy european,3.8429420692123157,17997,12.89
154,states,3.8409771907709964,17997,12.89
155,united,3.8409771907709964,10171,7.28
156,united states,3.8409771907709964,10171,7.28
157,dish poultry,3.8380370931,133766,95.79
158,cuisine north,3.8341303612357422,3876,2.78
159,savory,3.8252748414861486,41301,29.58
160,asian,3.825154075831754,4528,3.24
161,occasion for,3.7859612303812007,7521,5.39
162,vegetarian dietary,3.777520410190249,4307,3.08
163,breakfast,3.77659970578639,6481,4.64
164,seafood,3.7755649255848285,24753,17.73
165,salads,3.7698355642036914,53401,38.24
166,mood equipment,3.7553162528792385,22905,16.4
167,breads,3.6916226832072314,26574,19.03
168,vegetables easy,3.6618505248735613,5755,4.12
169,cheese,3.6613378358082422,23058,16.51
170,oven easy,3.6551041024747066,13978,10.01
171,for large,3.619478962323444,53401,38.24
172,large groups,3.619478962323444,20328,14.56
173,large,3.619478962323444,19631,14.06
174,groups,3.619478962323444,26318,18.85
175,dish meal,3.607556608652754,15048,10.78
176,one dish,3.607556608652754,4547,3.26
177,one,3.607556608652754,3419,2.45
178,meal,3.607556608652754,43839,31.39
179,beef,3.5812872426632927,43839,31.39
180,carb low,3.5730885443327365,10293,7.37
181,protein healthy,3.5660742532407097,34534,24.73
182,presentation served,3.467043138910695,5893,4.22
183,served,3.467043138910695,3974,2.85
184,brunch,3.462159329944491,4106,2.94
185,appetizers,3.4509664299304275,4257,3.05
186,top dietary,3.427488089954563,102455,73.37
187,to,3.410912235700169,102455,73.37
188,to go,3.410912235700169,33686,24.12
189,go,3.410912235700169,8879,6.36
190,chicken,3.393508109981912,6461,4.63
191,weeknight,3.3701764311522426,6295,4.51
192,healthy low,3.354064211490378,4046,2.9
193,calorie low,3.3468526417748174,4132,2.96
194,something meat,3.33420836770062,4049,2.9
195,seasonal,3.3180062611425094,31021,22.21
196,low fat,3.3015616063943254,31021,22.21
197,for or,3.2964242422591137,4300,3.08
198,top,3.244896116717641,71423,51.15
199,stove,3.244896116717641,8611,6.17
200,stove top,3.244896116717641,3607,2.58
201,poultry,3.2342058612816103,5417,3.88
202,lunch,3.2278062660787357,6719,4.81
203,fat low,3.2125075832601966,22464,16.09
204,presentation,3.1984713530781193,7425,5.32
205,european,3.1979552573309045,7425,5.32
206,pasta,3.105610391424158,10293,7.37
207,rice,3.105610391424158,10293,7.37
208,pasta rice,3.105610391424158,134743,96.49
209,and grains,3.105610391424158,133766,95.79
210,rice and,3.105610391424158,21516,15.41
211,grains,3.105610391424158,9815,7.03
212,cholesterol low,3.0862748638795665,23532,16.85
213,side dishes,3.0849491006511127,7180,5.14
214,dishes,3.0849491006511127,17004,12.18
215,side,3.0849491006511127,17004,12.18
216,comfort,3.0759459719138067,5402,3.87
217,comfort food,3.0759459719138067,3592,2.57
218,easy beginner,3.050080275000289,8076,5.78
219,kid friendly,3.0488571692715603,4589,3.29
220,kid,3.0488571692715603,4582,3.28
221,friendly,3.0488571692715603,6646,4.76
222,fruit,2.984467981430556,6162,4.41
223,eggs dairy,2.983947148085449,7426,5.32
224,eggs,2.983947148085449,14952,10.71
225,dairy,2.97792522260407,15496,11.1
226,saturated,2.9619569219147612,11846,8.48
227,low saturated,2.9619569219147612,25062,17.95
228,saturated fat,2.9619569219147612,10729,7.68
229,low protein,2.92706937184439,3622,2.59
230,sodium low,2.9251527680682665,3757,2.69
231,inexpensive,2.9183027559618626,3757,2.69
232,fat,2.8994164989472027,17004,12.18
233,oven,2.8702744895120027,17004,12.18
234,ingredients or,2.8549626559794294,3388,2.43
235,ingredients,2.8549626559794294,8751,6.27
236,holiday event,2.8359222330797973,3587,2.57
237,holiday,2.8359222330797973,19631,14.06
238,event,2.8359222330797973,19631,14.06
239,occasion north,2.8271592673611936,3340,2.39
240,vegetarian,2.8214334255785802,8279,5.93
241,beginner,2.8110861523158417,8701,6.23
242,beginner cook,2.8110861523158417,13750,9.85
243,low calorie,2.8077189249077925,4270,3.06
244,calorie,2.8077189249077925,11846,8.48
245,cholesterol,2.8010616611171306,4712,3.37
246,low cholesterol,2.8010616611171306,7534,5.4
247,food,2.791093725987067,4073,2.92
